W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
0.8066527	0.0	52	0	2	2	2	2	2	2	3	3	3	3	3	3	1.5556517	1.5556517	2.0	2	6.0	2.0	4.0	2.0	-0.51093906	1.0
	0.0	40	0	2	2	4	3	1	2	1	4	2	3	1	4	1.7428818	1.7428818	2.3333333	2	5.0	3.0	4.0	1.5	-0.20483804	1.0
1.6896286	0.0	70	1	3	2	2	2	3	2	2	2	4	4	4	3	5.742882	1.956284	2.3333333	0	1.0	3.0	2.0	1.0	-0.18627158	1.0
0.90493935	0.0	53	0	3	2	2	1	1	1	2	2	2	3	1	2	0.043715954	0.043715954	1.6666666	2	5.0	4.0	3.0	1.0	-0.9575067	1.0
	0.0	50	1	4	3	4	2	1	3	5	3	4	4	1	4	0.043715954	0.043715954	2.8333333	2	5.0	2.0	3.0	2.5	0.3511231	1.0
	0.0	48	1	3	3	5	4	2	2									3.1666667	2	5.0	1.0	1.0	1.0	0.61660165	
	0.0	47	0	3	4	2	2	3	4									3.0	2	3.0	1.0	2.5	2.5	0.6632405	
0.66400456	0.0	25	1	4	1	4	4	4	3	4	3	3	4	4	2	2.3994823	2.3994823	3.3333333	2	6.0	1.0	4.0	3.5	0.8700934	1.0
	0.0	51	0	1	2	2	2	1	1	1	1	1	1	1	1	1.043716	1.043716	1.5	1	5.0	2.0	5.0	3.0	-1.0887119	1.0
2.3127625	0.0	33	1	4	2	3	3	1	3	4	4	4	3	1	4	2.3994823	2.3994823	2.6666667	2	2.0	2.0	1.5	3.0	0.19465895	1.0
	0.0	23	1	5	3	3	2		1	3	3	4	3	3	2	0.0480299	0.0480299		1	6.0	1.0	2.5			
0.7733467	0.0	22	1	4	1	3	2	1	2	2	5	3	2	1	1	1.7428818		2.1666667	2	8.0	1.0	3.0	4.0	-0.4002511	1.0
0.5025372	0.0	72	1	5	1	1	1		1	3	4	3	3	2	2	0.44434834	0.44434834		1	2.0	1.0	3.5	1.0		
0.71913636	0.0	37	1	3	3	4	4	2	4	4	2	3	4	1	4	0.55565166	0.55565166	3.3333333	2	8.0	1.0	1.5	1.5	0.9678448	1.0
	0.0	21	1	5	3	5	5	4	4									4.3333335	2	4.0	1.0	2.0	1.0	1.9423013	
0.24169162	0.0	77	1	4	2	1	1	1	3	2	1	2	1	1	2	0.043715954	0.043715954	2.0	2	8.0	2.0	2.5	1.0	-0.455584	1.0
0.7974133	0.0	50	0	3	2	3	3	3	3	4	2	4	3	3	3	2.04803	2.04803	2.8333333	2	6.0	2.0	3.5	2.0	0.3919552	1.0
1.0183319	0.0	54	1	1	1	5	5	1	1	2	1	5	3	1	1			2.3333333	1	1.0	3.0	3.5	1.0	-0.28499815	
1.8400979	0.0	36	1	2	3	4	1	2	3	4	3	5	5	3				2.5	2	4.0	1.0	1.0	1.5	0.053597827	
	0.0	21	1	3	3	5	3	3	5	3	3	3	3	3	3	0.0480299	0.0480299	3.6666667	2	0.0	1.0			1.3797514	
	0.0	19	1	3	5	2	3	1	3	5	3	5	4	2	4	3.04803	3.04803	2.8333333	2	4.0	1.0	2.5	2.5	0.40396413	1.0
	0.0	21	1	4	2	4	4	1	2									2.8333333	2	6.0	3.0	2.0		0.26667514	
	0.0	30	1	3	5	4	4	3	4	4	5	1	3	1	4	1.5556517	1.5556517	3.8333333	2	3.0	3.0	2.0	2.0	1.4851341	1.0
	0.0	22	1	4	2	1	4	3	4									3.0	1	4.0	1.0	1.5	2.0	0.6559592	
0.396105	1.0	77	1	1	1	2	2	1	1	1	5	1	1	1	1	0.60147166	0.60147166	1.3333334	2	7.0	2.0	4.0	3.5	-1.2603625	1.0
	1.0	66	0	2	2	2	3	2	2									2.1666667	2	8.0	3.0	4.0	1.0	-0.34078503	
	1.0	61	1	2	3	3	3	3	5									3.1666667	2	0.0	0.0	1.0	1.0	0.91913694	
	0.0	81	0	1	1	1	1	1	1									1.0	1	10.0	2.0	2.5	5.0	-1.585484	
5.097416	2.0	57	1	1	2	3	4	2	3	1	2	2	3	2	3	0.8319135	0.8319135	2.5	0	0.0	1.0	1.0	2.5	0.08676218	1.0
	1.0	77	1	1	1	1	1	1	1	1	2	5	3		3	0.7811775		1.0	1	0.0	3.0	1.0	3.5	-1.585484	1.0
	1.0	72	0	3	4		4	4	3	2	3	4	4	2	4	0.21882248	0.21882248		0	0.0	2.0	1.0	1.0		
	1.0	70	1	2	2	2	2	2	4	4	3	2	2	3	3	2.334237	2.1680865	2.3333333	2	2.0	3.0	1.0	2.0	-0.0047284584	1.0
1.3998781	0.0	68	1	1	2	2	2		1	1	2	1	3	3	2				1	5.0	2.0		3.0		
	1.0	33	1	4	4	4	3	4	4									3.8333333	2	5.0	1.0	4.0	1.0	1.4679968	
	1.0	74	0	2	4	2	4	3	4	2	4	4	4	2	3		1.8319135	3.1666667	0	6.0	1.0	2.0	2.5	0.852869	
0.8297909	1.0	47	0	2	2	4	4	3	2	1	2	5	5	3	2	1.1680865	1.1680865	2.8333333	2	8.0	3.0	4.0	4.0	0.3132918	1.0
	1.0	63	1	3	3	5	5	3	5									4.0	2	1.0	1.0			1.7200595	
5.2854214	0.0	49	0	1	2	2	3	2	3	1	1	3	3	2	2			2.1666667	0	0.0	1.0	1.0	2.0	-0.23835929	
0.1055463	2.0	70	1	2	2	2	2	3	2	2	2	2	3	2	3	0.8319135	0.8319135	2.1666667	2	7.0	3.0	1.5	2.5	-0.33695114	1.0
0.19159608	2.0	71	0	3	2	2	3	2	3	3	2	3	3	3	3	0.25716496	2.1680865	2.5	1	1.0	1.0	1.5	1.5	0.06299985	1.0
5.08114	2.0	59	1	1	5	1	2	1	1	2	2	1	1	1	2	0.21882248	0.21882248	1.8333334	0	9.0	2.0	2.0	1.0	-0.7287271	1.0
0.29662126	2.0	72	1	2	2	3	3	3	2	2	2	2	3	3	2	1.8319135	1.8319135	2.5	1	6.0	2.0	3.0	2.5	-0.0118296705	1.0
5.1331334	1.0	42	0	3	1	1	2	2	3	4	1	2	2	2	2	2.1680865	2.1680865	2.0	0	5.0	3.0	1.0	1.0	-0.43377236	1.0
1.0826755	2.0	53	0	1	2	2	2	2	2	1	2	4	2	2	4	1.1680865	1.1680865	1.8333334	2	3.0	3.0	2.5	3.0	-0.66161865	1.0
	1.0	61	1	1	2	2	3	2	2									2.0	2	5.0	3.0	1.0	3.0	-0.49146459	
	2.0	50	0	2	2	1	4	2	2									2.1666667	2	6.0	1.0	1.5	1.0	-0.32559842	
1.7496701	1.0	63	1	1	2	1	3	1	2	2	2	4	3	2	3	0.21882248	0.21882248	1.6666666	1	5.0	1.0	2.5	2.0	-0.82041997	1.0
	1.0	58	0	2	5	1	1	1	1									1.8333334	1	7.0	2.0	1.0	2.0	-0.74820155	
5.5870886	2.0	43	1	4	3	4	4	3	2	3	3	1	1	1	1	1.171185	1.171185	3.3333333	0	6.0	0.0	2.0	1.0	0.7863017	1.0
0.70864415	1.0	77	0	2	1	1	2		2	2	1	1	2		1	0.16808653	0.16808653		1	8.0	2.0		1.5		
	1.0	59	1	4	1	1	4	3	2	1	2	1	4	1	2	0.6657629	0.6657629	2.5	1	5.0	2.0	1.5	2.5	-0.021902107	1.0
	1.0	56	1	2	2	3	3	3	4									2.8333333	2	5.0	2.0	2.0	3.0	0.49438092	
1.1213658	1.0	54	0	1	1	2	1	3	2	1	2	3	3	4	3			1.6666666	2	6.0	0.0	1.0	1.0	-0.82943547	
